Date,YEAR,MO,DY,T2M,T2M_RANGE,T2M_MAX,T2M_MIN,PRECTOTCORR,PS,WS10M,WS50M
02/01/1981,1981,2,1,18.29,14.14,26.83,12.69,3.24,100.63,2.51,4.56
02/02/1981,1981,2,2,15.67,13.92,23.51,9.59,0,100.86,3.33,5.34
02/03/1981,1981,2,3,15.19,15.24,23.89,8.65,0,100.87,2.16,3.16
02/04/1981,1981,2,4,17.93,18.34,27.12,8.79,0,100.7,1.82,2.49
02/05/1981,1981,2,5,19.73,18.2,29.02,10.83,0,100.69,1.89,2.59
02/06/1981,1981,2,6,21.65,18.73,31.56,12.83,0,100.74,1.96,2.96
02/07/1981,1981,2,7,18.79,16.7,28.36,11.66,4.37,100.6,3.48,5.69
02/08/1981,1981,2,8,16.65,18.23,26.67,8.44,0,100.47,3.34,5.23
02/09/1981,1981,2,9,17.41,15.6,26.37,10.76,0.3,100.48,2.2,3.12
02/10/1981,1981,2,10,16.5,16.05,25.25,9.2,0.51,100.5,3.11,4.39
02/11/1981,1981,2,11,15.83,17.89,25.41,7.53,0.14,100.33,2.88,4.49
02/12/1981,1981,2,12,18.21,18.53,27.85,9.32,0,100.22,3.03,4.5
02/13/1981,1981,2,13,19.6,16.46,28.6,12.14,0,100.23,2.2,2.97
02/14/1981,1981,2,14,21.06,19.95,30.92,10.97,0,100.23,2.26,3.27
02/15/1981,1981,2,15,22.94,15.99,32.12,16.14,0,100.15,2.25,3.07
02/16/1981,1981,2,16,22.42,16.99,31.96,14.96,0.05,100.31,2.81,4.21
02/17/1981,1981,2,17,20.55,17.94,30.69,12.76,0,100.4,4.41,7.09
02/18/1981,1981,2,18,18.59,19.97,29.93,9.96,0.01,100.32,4.77,7.91
02/19/1981,1981,2,19,19.23,21.06,30.85,9.79,0,100.4,3.91,6.62
02/20/1981,1981,2,20,19.2,19.5,30.23,10.74,0,100.39,3.78,6.17
02/21/1981,1981,2,21,19.78,20.41,31.1,10.7,0,100.34,4.36,7.19
02/22/1981,1981,2,22,20.05,21.34,31.62,10.29,0,100.3,4.28,6.8
02/23/1981,1981,2,23,21.33,20.68,32.62,11.94,0,100.4,3.24,4.75
02/24/1981,1981,2,24,23.73,22.03,35.15,13.12,0,100.35,3.13,4.57
02/25/1981,1981,2,25,25.13,19.88,36.01,16.13,0,100.27,2.72,4.17
02/26/1981,1981,2,26,24.28,20.48,35.23,14.75,0,100.22,3.85,6.03
02/27/1981,1981,2,27,23.61,18.95,33.23,14.28,0,100.26,3.9,6.16
02/28/1981,1981,2,28,26.37,19.28,36.4,17.12,0,100.13,2.97,4.81
03/01/1981,1981,3,1,24.93,17.92,34.72,16.8,0.02,100.27,2.62,4.7
03/02/1981,1981,3,2,22.99,15.78,31.8,16.03,0.01,100.39,5.22,8.26
03/03/1981,1981,3,3,21.51,20.5,32.73,12.23,0,100.57,4.36,6.93
03/04/1981,1981,3,4,22.73,21.59,33.15,11.56,0,100.66,2.47,3.51
03/05/1981,1981,3,5,24.65,18.41,34.06,15.65,0,100.59,2.03,2.84
03/06/1981,1981,3,6,26.48,17.88,36.05,18.16,0,100.55,2.16,3.16
03/07/1981,1981,3,7,26.94,17.73,36.08,18.35,0,100.48,2.9,4.34
03/08/1981,1981,3,8,25.94,16.98,35,18.02,0,100.23,3.41,5.37
03/09/1981,1981,3,9,24.01,14.88,31.7,16.82,0,100.31,1.95,2.91
03/10/1981,1981,3,10,25.06,20.23,35.03,14.8,0.1,100.27,1.8,2.98
03/11/1981,1981,3,11,24.85,19.25,34.6,15.35,0.83,100.21,3.03,5.09
03/12/1981,1981,3,12,24.88,15.74,33.4,17.65,0.13,100.4,2.99,4.89
03/13/1981,1981,3,13,20.33,8.22,24.97,16.76,0.39,100.6,3.15,4.36
03/14/1981,1981,3,14,23.19,15.71,31.01,15.3,0,100.59,1.7,2.88
03/15/1981,1981,3,15,25.66,13.01,33.76,20.76,0.08,100.66,2.66,4.17
03/16/1981,1981,3,16,23.5,12.38,30.25,17.87,3.2,100.57,3.1,4.57
03/17/1981,1981,3,17,24.07,16.32,32.78,16.46,0,100.07,4.25,6.41
03/18/1981,1981,3,18,25.37,19.31,35.51,16.2,0.04,99.95,3.73,5.65
03/19/1981,1981,3,19,27.39,16.7,36.47,19.76,0.07,100,2.79,4.05
03/20/1981,1981,3,20,27.12,15.6,35.82,20.23,0.79,100.05,2.57,4.11
03/21/1981,1981,3,21,27.51,14.3,35.24,20.93,0.35,99.99,2.82,4.64
03/22/1981,1981,3,22,26.94,17.94,36.4,18.46,0,99.77,3.46,5.46
03/23/1981,1981,3,23,26.48,17.52,36.07,18.55,0.05,99.57,3.01,5.04
03/24/1981,1981,3,24,26.06,19.16,35.88,16.72,0,99.78,3.05,4.81
03/25/1981,1981,3,25,26.4,16.3,35.61,19.3,0,99.92,1.82,2.84
03/26/1981,1981,3,26,26.33,17.45,35.8,18.36,0.18,99.83,2.76,3.99
03/27/1981,1981,3,27,27.7,19.96,38.2,18.25,0,99.63,3.56,5.18
03/28/1981,1981,3,28,28.13,18.46,37.96,19.5,0,99.76,2.48,3.57
03/29/1981,1981,3,29,28.24,19.31,38.19,18.88,0,99.96,2.98,4.85
03/30/1981,1981,3,30,29.17,19.01,38.97,19.96,0.77,99.82,3.63,6.01
03/31/1981,1981,3,31,29.88,17.76,39.26,21.51,0.53,99.51,3.77,5.63
04/01/1981,1981,4,1,28.69,17.84,38.26,20.42,1.15,99.59,3.45,5.74
04/02/1981,1981,4,2,29.13,20.23,39.62,19.4,0.2,99.8,3.53,5.52
04/03/1981,1981,4,3,30.73,20.27,41.02,20.76,0,99.64,2.69,4.36
04/04/1981,1981,4,4,30.98,18.91,41.18,22.26,0,99.47,3.3,5.09
04/05/1981,1981,4,5,28.72,20.16,39.19,19.04,0.09,99.48,4.98,7.73
